,food_type,temperature,hours_already_spent,risk
1312,Dal/lentils,refrigerated temperature,4.59,low
1313,Sweets,refrigerated temperature,1.31,low
1314,Fried items,room temperature(more than 25 C),4.81,high
1315,Cooked rice dish,room temperature(more than 25 C),7.11,very high
1316,Cooked rice dish,cool temperature(approx. 18 C),8.85,very high
1317,Dairy-based curries,refrigerated temperature,8.83,low
1318,Dairy-based curries,refrigerated temperature,2.29,low
1319,Dairy-based curries,refrigerated temperature,10.27,low
1320,Sweets,cool temperature(approx. 18 C),1.75,low
1321,Dry vegetable dishes,room temperature(more than 25 C),11.56,very high
1322,Sweets,cool temperature(approx. 18 C),5.18,medium
1323,Dry vegetable dishes,room temperature(more than 25 C),3.76,high
1324,Cooked rice dish,refrigerated temperature,1.77,low
1325,Dairy-based curries,room temperature(more than 25 C),10.18,very high
1326,Dry vegetable dishes,refrigerated temperature,4.7,low
1327,Non-veg curries,cool temperature(approx. 18 C),8.88,very high
1328,Fresh breads,cool temperature(approx. 18 C),0.57,low
1329,Cooked rice dish,room temperature(more than 25 C),5.16,very high
1330,Sweets,room temperature(more than 25 C),8.65,very high
1331,Dairy-based curries,cool temperature(approx. 18 C),6.72,very high
1332,Sweets,cool temperature(approx. 18 C),2.26,low
1333,Sweets,room temperature(more than 25 C),9.39,very high
1334,Fresh breads,room temperature(more than 25 C),4.65,high
1335,Cooked rice dish,room temperature(more than 25 C),3.33,very high
1336,Cooked rice dish,cool temperature(approx. 18 C),11.7,very high
1337,Fresh breads,refrigerated temperature,5.71,low
1338,Non-veg curries,refrigerated temperature,1.02,low
1339,Dairy-based curries,cool temperature(approx. 18 C),10.64,very high
1340,Sweets,refrigerated temperature,1.05,low
1341,Gravy-based veg curries,room temperature(more than 25 C),1.39,high
1342,Non-veg curries,refrigerated temperature,8.4,low
1343,Non-veg curries,cool temperature(approx. 18 C),9.13,very high
1344,Fried items,refrigerated temperature,6.48,low
1345,Dal/lentils,cool temperature(approx. 18 C),5.78,high
1346,Fried items,cool temperature(approx. 18 C),9.34,low
1347,Fresh breads,refrigerated temperature,6.34,low
1348,Dry vegetable dishes,cool temperature(approx. 18 C),8.93,high
1349,Dairy-based curries,cool temperature(approx. 18 C),6.4,very high
1350,Gravy-based veg curries,refrigerated temperature,4.23,low
1351,Sweets,refrigerated temperature,1.22,low
1352,Cooked rice dish,refrigerated temperature,1.2,low
1353,Dal/lentils,room temperature(more than 25 C),3.27,very high
1354,Cooked rice dish,room temperature(more than 25 C),3.89,very high
1355,Dry vegetable dishes,cool temperature(approx. 18 C),9.24,high
1356,Sweets,cool temperature(approx. 18 C),7.43,medium
1357,Gravy-based veg curries,cool temperature(approx. 18 C),4.52,high
1358,Non-veg curries,room temperature(more than 25 C),1.49,very high
1359,Cooked rice dish,cool temperature(approx. 18 C),1.51,high
1360,Sweets,cool temperature(approx. 18 C),9.08,high
1361,Fried items,refrigerated temperature,10.12,low
1362,Dairy-based curries,cool temperature(approx. 18 C),11.28,very high
1363,Fried items,refrigerated temperature,8.3,low
1364,Sweets,refrigerated temperature,9.78,low
1365,Cooked rice dish,refrigerated temperature,4.38,low
1366,Fried items,refrigerated temperature,6.82,low
1367,Dry vegetable dishes,refrigerated temperature,5.9,low
1368,Fried items,refrigerated temperature,9.73,low
1369,Dal/lentils,cool temperature(approx. 18 C),1.16,medium
1370,Dry vegetable dishes,room temperature(more than 25 C),4.99,very high
1371,Gravy-based veg curries,refrigerated temperature,7.73,low
1372,Cooked rice dish,cool temperature(approx. 18 C),10.69,very high
1373,Cooked rice dish,room temperature(more than 25 C),11.41,very high
1374,Cooked rice dish,room temperature(more than 25 C),11.69,very high
1375,Cooked rice dish,room temperature(more than 25 C),0.98,high
1376,Gravy-based veg curries,cool temperature(approx. 18 C),6.44,very high
1377,Dry vegetable dishes,cool temperature(approx. 18 C),8.66,high
1378,Dal/lentils,refrigerated temperature,2.18,low
1379,Fried items,cool temperature(approx. 18 C),5.04,low
1380,Dry vegetable dishes,refrigerated temperature,10.33,low
1381,Dry vegetable dishes,cool temperature(approx. 18 C),8.19,high
1382,Dry vegetable dishes,cool temperature(approx. 18 C),8.29,high
1383,Fresh breads,room temperature(more than 25 C),4.48,high
1384,Gravy-based veg curries,refrigerated temperature,0.97,low
1385,Cooked rice dish,room temperature(more than 25 C),7.94,very high
1386,Non-veg curries,refrigerated temperature,7.96,low
1387,Fried items,cool temperature(approx. 18 C),2.89,low
1388,Sweets,room temperature(more than 25 C),10.42,very high
1389,Dal/lentils,cool temperature(approx. 18 C),10.64,very high
1390,Gravy-based veg curries,refrigerated temperature,4.58,low
1391,Fresh breads,refrigerated temperature,1.69,low
1392,Dal/lentils,cool temperature(approx. 18 C),7.69,very high
1393,Non-veg curries,refrigerated temperature,3.27,low
1394,Cooked rice dish,room temperature(more than 25 C),0.63,high
1395,Cooked rice dish,refrigerated temperature,7.83,low
1396,Gravy-based veg curries,room temperature(more than 25 C),6.46,very high
1397,Gravy-based veg curries,room temperature(more than 25 C),11.45,very high
1398,Fried items,room temperature(more than 25 C),9.89,very high
1399,Sweets,cool temperature(approx. 18 C),5.86,medium
1400,Sweets,refrigerated temperature,3.83,low
1401,Gravy-based veg curries,refrigerated temperature,9.53,low
1402,Fried items,cool temperature(approx. 18 C),2.56,low
1403,Fried items,room temperature(more than 25 C),4.98,high
1404,Non-veg curries,refrigerated temperature,11.26,low
1405,Non-veg curries,refrigerated temperature,6.59,low
1406,Dry vegetable dishes,refrigerated temperature,7.51,low
1407,Dry vegetable dishes,room temperature(more than 25 C),1.31,medium
1408,Fried items,cool temperature(approx. 18 C),2.2,low
1409,Sweets,cool temperature(approx. 18 C),5.72,medium
1410,Sweets,refrigerated temperature,11.24,low
1411,Dal/lentils,refrigerated temperature,7.59,low
1412,Dry vegetable dishes,room temperature(more than 25 C),2.97,high
1413,Gravy-based veg curries,refrigerated temperature,8.28,low
1414,Fried items,refrigerated temperature,4.51,low
1415,Non-veg curries,room temperature(more than 25 C),9.65,very high
1416,Gravy-based veg curries,cool temperature(approx. 18 C),3.46,medium
1417,Non-veg curries,cool temperature(approx. 18 C),7.11,very high
1418,Dry vegetable dishes,room temperature(more than 25 C),1.75,medium
1419,Fried items,room temperature(more than 25 C),9.74,very high
1420,Sweets,refrigerated temperature,5.76,low
1421,Sweets,room temperature(more than 25 C),8.64,very high
1422,Fried items,cool temperature(approx. 18 C),2.19,low
1423,Gravy-based veg curries,refrigerated temperature,2.86,low
1424,Gravy-based veg curries,room temperature(more than 25 C),8.34,very high
1425,Non-veg curries,cool temperature(approx. 18 C),4.67,very high
1426,Fresh breads,refrigerated temperature,9.9,low
1427,Sweets,room temperature(more than 25 C),8.57,very high
1428,Fresh breads,cool temperature(approx. 18 C),3.03,low
1429,Gravy-based veg curries,cool temperature(approx. 18 C),0.41,medium
1430,Cooked rice dish,refrigerated temperature,7.12,low
1431,Sweets,room temperature(more than 25 C),3.97,very high
1432,Non-veg curries,cool temperature(approx. 18 C),5.33,very high
1433,Dry vegetable dishes,refrigerated temperature,11.89,low
1434,Fresh breads,cool temperature(approx. 18 C),9.17,high
1435,Dairy-based curries,cool temperature(approx. 18 C),1.12,high
1436,Gravy-based veg curries,room temperature(more than 25 C),7.62,very high
1437,Fresh breads,refrigerated temperature,11.35,low
1438,Sweets,room temperature(more than 25 C),7.79,very high
1439,Fried items,cool temperature(approx. 18 C),4.31,low
1440,Fried items,cool temperature(approx. 18 C),0.27,low
1441,Dal/lentils,room temperature(more than 25 C),10.15,very high
1442,Fried items,cool temperature(approx. 18 C),5.8,low
1443,Fried items,room temperature(more than 25 C),7.14,very high
1444,Fresh breads,cool temperature(approx. 18 C),0.33,low
1445,Fresh breads,cool temperature(approx. 18 C),1.07,low
1446,Dal/lentils,cool temperature(approx. 18 C),12.0,very high
1447,Dairy-based curries,refrigerated temperature,0.37,low
1448,Dal/lentils,refrigerated temperature,1.09,low
1449,Dairy-based curries,refrigerated temperature,4.56,low
1450,Cooked rice dish,room temperature(more than 25 C),1.85,very high
1451,Dal/lentils,room temperature(more than 25 C),0.35,high
1452,Sweets,refrigerated temperature,3.45,low
1453,Fresh breads,room temperature(more than 25 C),8.56,very high
1454,Sweets,refrigerated temperature,6.35,low
1455,Dry vegetable dishes,refrigerated temperature,0.45,low
1456,Gravy-based veg curries,refrigerated temperature,10.39,low
1457,Non-veg curries,cool temperature(approx. 18 C),9.73,very high
1458,Dal/lentils,refrigerated temperature,3.11,low
1459,Fried items,cool temperature(approx. 18 C),5.32,low
1460,Dry vegetable dishes,refrigerated temperature,1.46,low
1461,Dry vegetable dishes,refrigerated temperature,2.3,low
1462,Dal/lentils,room temperature(more than 25 C),6.15,very high
1463,Gravy-based veg curries,cool temperature(approx. 18 C),6.07,very high
1464,Fried items,room temperature(more than 25 C),3.85,medium
1465,Fried items,refrigerated temperature,5.32,low
1466,Gravy-based veg curries,refrigerated temperature,9.2,low
1467,Dry vegetable dishes,room temperature(more than 25 C),7.06,very high
1468,Dal/lentils,refrigerated temperature,3.17,low
1469,Fresh breads,refrigerated temperature,4.88,low
1470,Cooked rice dish,refrigerated temperature,1.67,low
1471,Dal/lentils,cool temperature(approx. 18 C),10.93,very high
1472,Non-veg curries,cool temperature(approx. 18 C),5.73,very high
1473,Non-veg curries,room temperature(more than 25 C),5.83,very high
1474,Dairy-based curries,cool temperature(approx. 18 C),1.46,high
1475,Cooked rice dish,room temperature(more than 25 C),5.13,very high
1476,Fried items,refrigerated temperature,0.06,low
1477,Dal/lentils,room temperature(more than 25 C),7.59,very high
1478,Sweets,refrigerated temperature,2.94,low
1479,Fried items,room temperature(more than 25 C),6.61,very high
1480,Dairy-based curries,room temperature(more than 25 C),4.89,very high
1481,Non-veg curries,refrigerated temperature,0.7,low
1482,Non-veg curries,refrigerated temperature,2.72,low
1483,Dry vegetable dishes,refrigerated temperature,0.28,low
1484,Sweets,refrigerated temperature,9.55,low
1485,Dal/lentils,refrigerated temperature,2.83,low
1486,Dal/lentils,room temperature(more than 25 C),3.45,very high
1487,Gravy-based veg curries,room temperature(more than 25 C),4.89,very high
1488,Fried items,cool temperature(approx. 18 C),9.44,low
1489,Gravy-based veg curries,room temperature(more than 25 C),7.75,very high
1490,Cooked rice dish,cool temperature(approx. 18 C),2.86,very high
1491,Dairy-based curries,room temperature(more than 25 C),4.9,very high
1492,Gravy-based veg curries,refrigerated temperature,6.04,low
1493,Gravy-based veg curries,room temperature(more than 25 C),3.57,very high
1494,Dal/lentils,refrigerated temperature,6.31,low
1495,Dairy-based curries,cool temperature(approx. 18 C),7.81,very high
1496,Fresh breads,room temperature(more than 25 C),0.65,medium
1497,Sweets,refrigerated temperature,8.36,low
1498,Dairy-based curries,cool temperature(approx. 18 C),6.82,very high
1499,Fried items,room temperature(more than 25 C),11.08,very high
1500,Gravy-based veg curries,room temperature(more than 25 C),5.86,very high
1501,Fresh breads,room temperature(more than 25 C),8.15,very high
1502,Dairy-based curries,cool temperature(approx. 18 C),2.85,very high
1503,Sweets,room temperature(more than 25 C),9.63,very high
1504,Fresh breads,refrigerated temperature,8.52,low
1505,Dairy-based curries,refrigerated temperature,7.65,low
1506,Cooked rice dish,cool temperature(approx. 18 C),1.17,high
1507,Dairy-based curries,cool temperature(approx. 18 C),4.7,very high
1508,Sweets,room temperature(more than 25 C),11.83,very high
1509,Cooked rice dish,cool temperature(approx. 18 C),2.73,very high
1510,Gravy-based veg curries,cool temperature(approx. 18 C),0.38,medium
1511,Dal/lentils,refrigerated temperature,3.0,low
1512,Dal/lentils,cool temperature(approx. 18 C),10.01,very high
1513,Dal/lentils,refrigerated temperature,8.77,low
1514,Dal/lentils,cool temperature(approx. 18 C),4.33,high
1515,Dairy-based curries,cool temperature(approx. 18 C),4.0,very high
1516,Non-veg curries,cool temperature(approx. 18 C),10.03,very high
1517,Non-veg curries,room temperature(more than 25 C),10.88,very high
1518,Dry vegetable dishes,refrigerated temperature,7.72,low
1519,Non-veg curries,cool temperature(approx. 18 C),2.04,very high
1520,Sweets,cool temperature(approx. 18 C),1.78,low
1521,Sweets,room temperature(more than 25 C),6.37,very high
1522,Dal/lentils,refrigerated temperature,7.91,low
1523,Fresh breads,room temperature(more than 25 C),3.68,medium
1524,Dal/lentils,room temperature(more than 25 C),5.76,very high
1525,Non-veg curries,cool temperature(approx. 18 C),6.5,very high
1526,Dal/lentils,room temperature(more than 25 C),8.47,very high
1527,Sweets,room temperature(more than 25 C),0.83,medium
1528,Non-veg curries,room temperature(more than 25 C),3.35,very high
1529,Non-veg curries,cool temperature(approx. 18 C),2.76,very high
1530,Gravy-based veg curries,refrigerated temperature,11.22,low
1531,Dry vegetable dishes,room temperature(more than 25 C),3.69,high
1532,Dal/lentils,refrigerated temperature,5.88,low
1533,Dal/lentils,cool temperature(approx. 18 C),3.08,medium
1534,Dry vegetable dishes,refrigerated temperature,4.07,low
1535,Dairy-based curries,cool temperature(approx. 18 C),10.97,very high
1536,Dairy-based curries,refrigerated temperature,6.17,low
1537,Dry vegetable dishes,refrigerated temperature,5.0,low
1538,Gravy-based veg curries,cool temperature(approx. 18 C),3.57,medium
1539,Sweets,cool temperature(approx. 18 C),0.23,low
1540,Dry vegetable dishes,room temperature(more than 25 C),6.23,very high
1541,Non-veg curries,room temperature(more than 25 C),3.48,very high
1542,Dal/lentils,refrigerated temperature,4.19,low
1543,Dry vegetable dishes,room temperature(more than 25 C),8.39,very high
1544,Non-veg curries,refrigerated temperature,11.61,low
1545,Fried items,cool temperature(approx. 18 C),10.13,low
1546,Dairy-based curries,refrigerated temperature,4.36,low
1547,Fried items,cool temperature(approx. 18 C),2.96,low
1548,Dairy-based curries,refrigerated temperature,11.84,low
1549,Dry vegetable dishes,cool temperature(approx. 18 C),11.73,very high
1550,Sweets,refrigerated temperature,10.28,low
1551,Dry vegetable dishes,room temperature(more than 25 C),9.74,very high
1552,Dal/lentils,cool temperature(approx. 18 C),2.81,medium
1553,Fried items,cool temperature(approx. 18 C),1.31,low
1554,Dal/lentils,cool temperature(approx. 18 C),3.33,medium
1555,Dairy-based curries,room temperature(more than 25 C),6.34,very high
